startingAirport,destinationAirport,d1,d2,d3,d4
ATL,BOS,600.0,2030.0,195.73202085520208,998.0329952998532
ATL,CLT,228.0,1675.0,484.16957622493425,662.6247303254854
ATL,DEN,762.0,2383.0,417.97176469567415,1546.1284886332044
ATL,DFW,725.0,1965.0,329.85648487122745,907.0458412306607
ATL,DTW,604.0,1966.0,360.2059583920323,973.100300769055
ATL,EWR,762.0,2105.0,207.9313213496891,828.1171669493817
ATL,IAD,541.0,1902.0,211.39909751048307,621.6423414875624
ATL,JFK,762.0,1700.0,336.11193117894453,962.9338950727796
ATL,LAX,1610.0,3064.0,233.5557901275944,2086.6986550084807
ATL,LGA,762.0,2110.0,272.465613172518,869.9462869452099
ATL,MIA,596.0,1866.0,597.3153103629066,1146.8223338894088
ATL,OAK,1439.0,2948.0,236.80902392100666,2422.4476637420935
ATL,ORD,586.0,1809.0,398.30913605346615,963.9113243515326
ATL,PHL,667.0,2023.0,300.8909495274978,872.1970835975002
ATL,SFO,762.0,3328.0,410.3506401704737,2480.410744418484
BOS,ATL,185.0,2030.0,240.29183027027773,1022.4332770671865
BOS,CLT,185.0,1912.0,185.8899447496934,780.9017291156719
BOS,DEN,709.0,2976.0,255.39176693839744,1906.9486709316382
BOS,DFW,1556.0,2413.0,182.9550577095266,1643.1612535523564
BOS,DTW,622.0,2185.0,190.11377033356533,764.009967139304
BOS,EWR,185.0,1709.0,558.3678176765698,539.2707746742083
BOS,IAD,342.0,1488.0,327.3806220268696,683.6657746944169
BOS,JFK,121.0,1465.0,142.46031927893048,239.05328149550783
BOS,LAX,1089.0,3599.0,193.57159954639957,2701.1153321026113
BOS,LGA,185.0,1856.0,360.8819174094804,400.96287772016706
BOS,MIA,1260.0,2671.0,122.09960621637063,1303.8854434780487
BOS,OAK,2275.0,3480.0,210.65947374825146,3024.7393416448685
BOS,ORD,495.0,2113.0,124.89155092202245,901.9056249277373
BOS,PHL,280.0,1614.0,147.99119715087895,307.86285065058024
BOS,SFO,992.0,3842.0,196.3519291694254,2810.698747885795
CLT,ATL,228.0,1675.0,474.1351232666244,687.4931778217998
CLT,BOS,728.0,2052.0,145.4704058157682,768.9185255528208
CLT,DEN,545.0,2969.0,362.2557412088667,1665.8633537745823
CLT,DFW,930.0,2284.0,338.44378188214193,1188.5181408314488
CLT,DTW,505.0,1925.0,267.28332956081084,846.2716780496239
CLT,EWR,545.0,1756.0,275.96144166206443,739.5284869632645
CLT,IAD,327.0,1201.0,240.68841658201654,555.0601104686286
CLT,JFK,545.0,1939.0,277.56616422526,719.3703464799115
CLT,LAX,1828.0,3003.0,329.5636563113299,2410.6117535227017
CLT,LGA,545.0,1756.0,260.8541854471449,653.9951214117184
CLT,MIA,652.0,1988.0,425.1149816770694,999.6611510327716
CLT,OAK,1088.0,3102.0,233.7718021869715,2590.6316981987084
CLT,ORD,592.0,2000.0,330.58316501575035,958.0190994161401
CLT,PHL,449.0,1908.0,314.8753173053817,783.5605313556905
CLT,SFO,1095.0,3426.0,340.6841805132081,2668.8879737894135
DEN,ATL,903.0,2710.0,422.84881555447964,1555.5974374005527
DEN,BOS,1473.0,2976.0,240.58489246171132,1916.6173737179179
DEN,CLT,1346.0,2514.0,325.5845951285241,1675.370534738315
DEN,DFW,650.0,2146.0,456.182561700847,999.6193454242235
DEN,DTW,1142.0,2508.0,412.99120392878484,1566.5993753394894
DEN,EWR,1621.0,3269.0,288.7277871531301,1826.871335794671
DEN,IAD,1473.0,2675.0,205.79817229299525,1689.050735834241
DEN,JFK,1621.0,2820.0,385.48633032870134,1972.2852622441264
DEN,LAX,590.0,2259.0,360.85886167597505,1042.640825345888
DEN,LGA,1621.0,2820.0,207.10627086137026,1783.04583984375
DEN,MIA,1716.0,3187.0,403.73145184858396,2086.9342963565205
DEN,OAK,943.0,2543.0,324.4173284816644,1343.0650384472071
DEN,ORD,903.0,2593.0,421.36652378173943,1235.222705076984
DEN,PHL,1567.0,2775.0,332.4700075960282,1856.0733139695126
DEN,SFO,954.0,2279.0,273.52020463991414,1168.8480845687957
DFW,ATL,725.0,2142.0,395.37938980229455,943.1258494567805
DFW,BOS,1556.0,2413.0,139.65922770256313,1616.1956884000772
DFW,CLT,930.0,1996.0,345.69576624347695,1173.4858685244494
DFW,DEN,650.0,2313.0,482.43221272163225,1020.5519946710089
DFW,DTW,995.0,2478.0,368.00527357445543,1295.6306390977443
DFW,EWR,1380.0,2271.0,118.29197441828985,1465.1148418114144
